variant,feature_events,has_raf,has_cancel_raf,has_canvas_2d,has_resize,has_stateRef,setState_in_raf,has_dom_overlay_text,has_fixed_timestep,uses_performance_now,uses_date_now,uses_ts_from_raf,has_loop_mod,has_deterministic_rng,force_spring,force_attract_to_center,force_repulse,force_noise_jitter,force_damping_mul,force_velocity_clamp,pass_threads,pass_particles,pass_hotspot_gradient,pass_trails_alpha,has_lerp,has_smoothstep,has_easing_words,has_clusters,has_threads,has_hotspots,has_scan_ring,has_stress_pulse,has_shadow_blur,has_trails,has_gradients,has_teal,has_red,particle_count,cluster_count,duration_ms,signature,score,ENGINE_CLASS,files_analyzed
aetheris_-hybrid-simulation-engine,"[{""variant"":""aetheris_-hybrid-simulation-engine"",""feature"":""has_gradients"",""file"":""App.tsx"",""line"":198,""match"":""gradient creation"",""snippet"":""\n      // Core Glow\n      ctx.beginPath();\n      const gradient = ctx.createRadialGradient(p.pos.x, p.pos.y, 0, p.pos.x, p.pos.y, 4 + p.stress * 10);\n      gradient.addColorStop(0, `hsla(${hue}, 90%, 70%, ${alpha})`);\n      gradient.addColorStop(1, 'transparent');\n      ctx.fillStyle = gradient;"",""kind"":""regex""},{""variant"":""aetheris_-hybrid-simulation-engine"",""feature"":""has_trails"",""file"":""App.tsx"",""line"":173,""match"":""rgba fillStyle + fillRect"",""snippet"":""    if (!ctx) return;\n\n    // Fade effect for smoother motion\n    ctx.fillStyle = 'rgba(2, 6, 23, 0.4)';\n    ctx.fillRect(0, 0, canvas.width, canvas.height);\n\n    const particles = particlesRef.current;"",""kind"":""regex""},{""variant"":""aetheris_-hybrid-simulation-engine"",""feature"":""has_teal"",""file"":""App.tsx"",""line"":180,""match"":""teal/cyan color"",""snippet"":""\n    particles.forEach(p => {\n      // Color based on stress and velocity\n      const hue = 180 + p.stress * 100; // Cyan to Magenta\n      const brightness = 40 + p.stress * 60;\n      const alpha = 0.3 + p.stress * 0.7;\n"",""kind"":""regex""},{""variant"":""aetheris_-hybrid-simulation-engine"",""feature"":""has_clusters"",""file"":""App.tsx"",""line"":79,""match"":""clusters"",""snippet"":""    const { width, height } = canvasRef.current || { width: window.innerWidth, height: window.innerHeight };\n    \n    let totalStress = 0;\n    let clusters = new Map<number, number>();\n\n    // Phase 1: Reset Acceleration & Interaction logic\n    for (let i = 0; i < particles.length; i++) {"",""kind"":""regex""},{""variant"":""aetheris_-hybrid-simulation-engine"",""feature"":""has_threads"",""file"":""App.tsx"",""line"":191,""match"":""lineTo + connection logic"",""snippet"":""        ctx.lineWidth = 1 + p.stress * 2;\n        ctx.moveTo(p.history[0].x, p.history[0].y);\n        for (let i = 1; i < p.history.length; i++) {\n          ctx.lineTo(p.history[i].x, p.history[i].y);\n        }\n        ctx.stroke();\n      }"",""kind"":""regex""},{""variant"":""aetheris_-hybrid-simulation-engine"",""feature"":""has_hotspots"",""file"":""App.tsx"",""line"":198,""match"":""hotspots"",""snippet"":""\n      // Core Glow\n      ctx.beginPath();\n      const gradient = ctx.createRadialGradient(p.pos.x, p.pos.y, 0, p.pos.x, p.pos.y, 4 + p.stress * 10);\n      gradient.addColorStop(0, `hsla(${hue}, 90%, 70%, ${alpha})`);\n      gradient.addColorStop(1, 'transparent');\n      ctx.fillStyle = gradient;"",""kind"":""regex""},{""variant"":""aetheris_-hybrid-simulation-engine"",""feature"":""has_resize"",""file"":""App.tsx"",""line"":62,""match"":""resize handler"",""snippet"":""        canvasRef.current.height = window.innerHeight;\n      }\n    };\n    window.addEventListener('resize', handleResize);\n    handleResize();\n    return () => window.removeEventListener('resize', handleResize);\n  }, []);"",""kind"":""regex""},{""variant"":""aetheris_-hybrid-simulation-engine"",""feature"":""pass_particles"",""file"":""App.tsx"",""line"":202,""match"":""draw particles primitives"",""snippet"":""      gradient.addColorStop(0, `hsla(${hue}, 90%, 70%, ${alpha})`);\n      gradient.addColorStop(1, 'transparent');\n      ctx.fillStyle = gradient;\n      ctx.arc(p.pos.x, p.pos.y, 10 + p.stress * 15, 0, Math.PI * 2);\n      ctx.fill();\n\n      // Entity Core"",""kind"":""regex""},{""variant"":""aetheris_-hybrid-simulation-engine"",""feature"":""pass_trails_alpha"",""file"":""App.tsx"",""line"":173,""match"":""rgba(alpha<1) + fillRect"",""snippet"":""    if (!ctx) return;\n\n    // Fade effect for smoother motion\n    ctx.fillStyle = 'rgba(2, 6, 23, 0.4)';\n    ctx.fillRect(0, 0, canvas.width, canvas.height);\n\n    const particles = particlesRef.current;"",""kind"":""regex""},{""variant"":""aetheris_-hybrid-simulation-engine"",""feature"":""pass_hotspot_gradient"",""file"":""App.tsx"",""line"":198,""match"":""createRadialGradient + fill"",""snippet"":""\n      // Core Glow\n      ctx.beginPath();\n      const gradient = ctx.createRadialGradient(p.pos.x, p.pos.y, 0, p.pos.x, p.pos.y, 4 + p.stress * 10);\n      gradient.addColorStop(0, `hsla(${hue}, 90%, 70%, ${alpha})`);\n      gradient.addColorStop(1, 'transparent');\n      ctx.fillStyle = gradient;"",""kind"":""regex""},{""variant"":""aetheris_-hybrid-simulation-engine"",""feature"":""has_stateRef"",""file"":""App.tsx"",""line"":16,""match"":""stateRef"",""snippet"":""  // Simulation state refs for performance (bypassing React render cycle for the physics engine)\n  const particlesRef = useRef<Particle[]>([]);\n  const canvasRef = useRef<HTMLCanvasElement>(null);\n  const stateRef = useRef<SimulationState>({\n    particles: [],\n    avgStress: 0,\n    activeClusters: 0,"",""kind"":""regex""},{""variant"":""aetheris_-hybrid-simulation-engine"",""feature"":""uses_ts_from_raf"",""file"":""App.tsx"",""line"":68,""match"":""timestamp from RAF callback"",""snippet"":""    handleResize();\n    return () => window.removeEventListener('resize', handleResize);\n  }, []);\n\n  // Deterministic Noise Function (Simple Perlin approximation for 2D)\n  const getNoise = (x: number, y: number, time: number) => {\n    const value = Math.sin(x * NOISE_SCALE + time * 0.01) * Math.cos(y * NOISE_SCALE + time * 0.02);\n    return value;\n  };\n\n  // Main Physics Update (Deterministic Logic)"",""kind"":""regex""},{""variant"":""aetheris_-hybrid-simulation-engine"",""feature"":""has_canvas_2d"",""file"":""App.tsx"",""line"":169,""match"":""getContext('2d')"",""snippet"":""  const render = useCallback(() => {\n    const canvas = canvasRef.current;\n    if (!canvas) return;\n    const ctx = canvas.getContext('2d');\n    if (!ctx) return;\n\n    // Fade effect for smoother motion"",""kind"":""ast""},{""variant"":""aetheris_-hybrid-simulation-engine"",""feature"":""has_raf"",""file"":""App.tsx"",""line"":219,""match"":""requestAnimationFrame"",""snippet"":""    const loop = (time: number) => {\n      update(time);\n      render();\n      animationFrameId = requestAnimationFrame(loop);\n    };\n    animationFrameId = requestAnimationFrame(loop);\n    return () => cancelAnimationFrame(animationFrameId);"",""kind"":""ast""},{""variant"":""aetheris_-hybrid-simulation-engine"",""feature"":""has_raf"",""file"":""App.tsx"",""line"":221,""match"":""requestAnimationFrame"",""snippet"":""      render();\n      animationFrameId = requestAnimationFrame(loop);\n    };\n    animationFrameId = requestAnimationFrame(loop);\n    return () => cancelAnimationFrame(animationFrameId);\n  }, [update, render]);\n"",""kind"":""ast""},{""variant"":""aetheris_-hybrid-simulation-engine"",""feature"":""has_cancel_raf"",""file"":""App.tsx"",""line"":222,""match"":""cancelAnimationFrame"",""snippet"":""      animationFrameId = requestAnimationFrame(loop);\n    };\n    animationFrameId = requestAnimationFrame(loop);\n    return () => cancelAnimationFrame(animationFrameId);\n  }, [update, render]);\n\n  return ("",""kind"":""ast""},{""variant"":""aetheris_-hybrid-simulation-engine"",""feature"":""has_teal"",""file"":""components/ControlPanel.tsx"",""line"":18,""match"":""teal/cyan color"",""snippet"":""  return (\n    <div className=\""fixed left-6 top-6 bottom-6 w-80 bg-slate-900/80 backdrop-blur-xl border border-slate-700/50 rounded-2xl p-6 overflow-y-auto text-slate-100 flex flex-col gap-6 shadow-2xl z-50\"">\n      <div className=\""flex items-center gap-3 border-b border-slate-700 pb-4\"">\n        <Activity className=\""text-cyan-400\"" size={24} />\n        <h1 className=\""font-bold text-xl tracking-tight\"">Aetheris <span className=\""text-xs font-normal text-slate-500 block\"">v1.0 Hybrid Engine</span></h1>\n      </div>\n"",""kind"":""regex""},{""variant"":""aetheris_-hybrid-simulation-engine"",""feature"":""has_clusters"",""file"":""services/geminiService.ts"",""line"":11,""match"":""clusters"",""snippet"":""  try {\n    const prompt = `Analyze this physics simulation state:\n    - Average System Stress: ${state.avgStress.toFixed(2)}\n    - Active Clusters: ${state.activeClusters}\n    - Simulation Tick: ${state.tickCount}\n    - Total Entities: ${state.particles.length}\n"",""kind"":""regex""}]",1,1,1,1,1,,,,,,1,,,,,1,,,,1,1,1,1,,,,1,1,1,,,,1,1,1,,,,18000,C_T_H_TR_-_-_-_-_OK,19,STABLE,7
aetherscan_-threat-detection-engine,"[{""variant"":""aetherscan_-threat-detection-engine"",""feature"":""has_scan_ring"",""file"":""App.tsx"",""line"":2,""match"":""scan ring"",""snippet"":""import React, { useState, useRef } from 'react';\nimport { ScannerCanvas } from './components/ScannerCanvas';\nimport { Overlay } from './components/Overlay';\nimport { EngineConfig } from './types';\n"",""kind"":""regex""},{""variant"":""aetherscan_-threat-detection-engine"",""feature"":""has_stress_pulse"",""file"":""App.tsx"",""line"":27,""match"":""stress pulse"",""snippet"":""    // effectively resetting the \""active\"" state or just letting the user click.\n    // Actually, let's just simulate a user click at center via custom event or similar,\n    // but simpler: The canvas listens to props? \n    // The easiest way for the \""Initiate Pulse\"" button to work without deep coupling \n    // is to let the user know they can click, OR expose a ref.\n    // We will just let the user click on canvas for now as implemented in ScannerCanvas.\n    "",""kind"":""regex""},{""variant"":""aetherscan_-threat-detection-engine"",""feature"":""has_red"",""file"":""types.ts"",""line"":10,""match"":""red color"",""snippet"":""  id: string;\n  pos: Vector2;\n  velocity: Vector2;\n  riskLevel: number; // 0.0 to 1.0\n  active: boolean; // Is currently scanned/highlighted\n  scanIntensity: number; // Decay factor for visual highlight\n  radius: number;"",""kind"":""regex""},{""variant"":""aetherscan_-threat-detection-engine"",""feature"":""has_stress_pulse"",""file"":""types.ts"",""line"":24,""match"":""stress pulse"",""snippet"":""  maxRadius: number;\n  speed: number;\n  strength: number; // Opacity/Intensity\n  type: 'radar' | 'pulse' | 'alert';\n}\n\nexport interface Particle {"",""kind"":""regex""},{""variant"":""aetherscan_-threat-detection-engine"",""feature"":""has_teal"",""file"":""components/Overlay.tsx"",""line"":21,""match"":""teal/cyan color"",""snippet"":""      {/* Header */}\n      <header className=\""flex justify-between items-start pointer-events-auto\"">\n        <div>\n          <h1 className=\""text-cyan-400 text-2xl font-bold tracking-widest uppercase drop-shadow-[0_0_10px_rgba(6,182,212,0.5)]\"">\n            AETHER<span className=\""text-white\"">SCAN</span>\n          </h1>\n          <div className=\""flex items-center gap-2 mt-1\"">"",""kind"":""regex""},{""variant"":""aetherscan_-threat-detection-engine"",""feature"":""has_red"",""file"":""components/Overlay.tsx"",""line"":33,""match"":""red color"",""snippet"":""        <div className=\""flex flex-col items-end\"">\n            <div className=\""border border-cyan-900 bg-black/80 backdrop-blur-sm p-2 px-4 rounded-sm\"">\n                <div className=\""text-[10px] text-cyan-600 uppercase mb-1\"">Threat Status</div>\n                <div className={`text-xl font-mono font-bold ${stats.threatLevel === 'CRITICAL' ? 'text-red-500 animate-pulse' : 'text-cyan-400'}`}>\n                    {stats.threatLevel}\n                </div>\n            </div>"",""kind"":""regex""},{""variant"":""aetherscan_-threat-detection-engine"",""feature"":""has_stress_pulse"",""file"":""components/Overlay.tsx"",""line"":25,""match"":""stress pulse"",""snippet"":""            AETHER<span className=\""text-white\"">SCAN</span>\n          </h1>\n          <div className=\""flex items-center gap-2 mt-1\"">\n            <div className=\""w-2 h-2 bg-green-500 rounded-full animate-pulse shadow-[0_0_8px_#22c55e]\""></div>\n            <span className=\""text-xs text-green-500 font-mono\"">SYSTEM ONLINE</span>\n          </div>\n        </div>"",""kind"":""regex""},{""variant"":""aetherscan_-threat-detection-engine"",""feature"":""has_shadow_blur"",""file"":""components/ScannerCanvas.tsx"",""line"":331,""match"":""shadowBlur"",""snippet"":""      \n      // Glow effect\n      if (node.scanIntensity > 0.1) {\n        ctx.shadowBlur = node.scanIntensity * (isHighRisk ? 15 : 10);\n        ctx.shadowColor = isHighRisk ? '#ef4444' : '#06b6d4';\n      } else {\n        ctx.shadowBlur = 0;"",""kind"":""regex""},{""variant"":""aetherscan_-threat-detection-engine"",""feature"":""has_gradients"",""file"":""components/ScannerCanvas.tsx"",""line"":289,""match"":""gradient creation"",""snippet"":""      const r0 = Math.max(0, wave.currentRadius - 5);\n      const r1 = wave.currentRadius + 5;\n      \n      const gradient = ctx.createRadialGradient(\n        wave.origin.x, wave.origin.y, r0,\n        wave.origin.x, wave.origin.y, r1\n      );"",""kind"":""regex""},{""variant"":""aetherscan_-threat-detection-engine"",""feature"":""has_trails"",""file"":""components/ScannerCanvas.tsx"",""line"":151,""match"":""rgba fillStyle + fillRect"",""snippet"":""    const h = dimensions.y;\n\n    // 1. Clear & Fade Background\n    ctx.fillStyle = 'rgba(5, 5, 8, 0.25)'; // Trail effect\n    ctx.fillRect(0, 0, w, h);\n\n    // 2. Update Physics & Logic"",""kind"":""regex""},{""variant"":""aetherscan_-threat-detection-engine"",""feature"":""has_teal"",""file"":""components/ScannerCanvas.tsx"",""line"":188,""match"":""teal/cyan color"",""snippet"":""               velocity: { x: (Math.random() - 0.5) * 50, y: (Math.random() - 0.5) * 50 },\n               life: 1.0,\n               maxLife: 1.0,\n               color: node.riskLevel > mergedConfig.riskThreshold ? '#ef4444' : '#06b6d4',\n             });\n          }\n        }"",""kind"":""regex""},{""variant"":""aetherscan_-threat-detection-engine"",""feature"":""has_red"",""file"":""components/ScannerCanvas.tsx"",""line"":14,""match"":""red color"",""snippet"":""  nodeCount: 60,\n  connectionThreshold: 150,\n  scanSpeed: 250, // Pixels per second\n  riskThreshold: 0.7,\n};\n\nexport const ScannerCanvas: React.FC<ScannerCanvasProps> = ({ config = {}, active }) => {"",""kind"":""regex""},{""variant"":""aetherscan_-threat-detection-engine"",""feature"":""has_threads"",""file"":""components/ScannerCanvas.tsx"",""line"":268,""match"":""lineTo + connection logic"",""snippet"":""             \n             ctx.beginPath();\n             ctx.moveTo(n1.pos.x, n1.pos.y);\n             ctx.lineTo(n2.pos.x, n2.pos.y);\n             ctx.stroke();\n          }\n        }"",""kind"":""regex""},{""variant"":""aetherscan_-threat-detection-engine"",""feature"":""has_hotspots"",""file"":""components/ScannerCanvas.tsx"",""line"":289,""match"":""hotspots"",""snippet"":""      const r0 = Math.max(0, wave.currentRadius - 5);\n      const r1 = wave.currentRadius + 5;\n      \n      const gradient = ctx.createRadialGradient(\n        wave.origin.x, wave.origin.y, r0,\n        wave.origin.x, wave.origin.y, r1\n      );"",""kind"":""regex""},{""variant"":""aetherscan_-threat-detection-engine"",""feature"":""has_scan_ring"",""file"":""components/ScannerCanvas.tsx"",""line"":5,""match"":""scan ring"",""snippet"":""import { defaultRNG, DeterministicRNG } from '../utils/rng';\nimport { NodeEntity, ScanWave, Particle, Vector2, EngineConfig } from '../types';\n\ninterface ScannerCanvasProps {\n  config?: Partial<EngineConfig>;\n  active: boolean;\n}"",""kind"":""regex""},{""variant"":""aetherscan_-threat-detection-engine"",""feature"":""has_stress_pulse"",""file"":""components/ScannerCanvas.tsx"",""line"":69,""match"":""stress pulse"",""snippet"":""    };\n  };\n\n  const spawnWave = (x: number, y: number, type: ScanWave['type'] = 'pulse') => {\n    const { waves } = engineState.current;\n    // Fix: Ensure dimensions are at least 1 to prevent division by zero in strength calculation\n    const dimX = Math.max(engineState.current.dimensions.x, 1);"",""kind"":""regex""},{""variant"":""aetherscan_-threat-detection-engine"",""feature"":""has_resize"",""file"":""components/ScannerCanvas.tsx"",""line"":117,""match"":""resize handler"",""snippet"":""      }\n    };\n\n    window.addEventListener('resize', handleResize);\n    return () => window.removeEventListener('resize', handleResize);\n  }, [mergedConfig.nodeCount]);\n"",""kind"":""regex""},{""variant"":""aetherscan_-threat-detection-engine"",""feature"":""pass_particles"",""file"":""components/ScannerCanvas.tsx"",""line"":266,""match"":""draw particles primitives"",""snippet"":""                ? `rgba(239, 68, 68, ${alpha * 0.8})` // Red\n                : `rgba(6, 182, 212, ${alpha * 0.5})`; // Cyan\n             \n             ctx.beginPath();\n             ctx.moveTo(n1.pos.x, n1.pos.y);\n             ctx.lineTo(n2.pos.x, n2.pos.y);\n             ctx.stroke();"",""kind"":""regex""},{""variant"":""aetherscan_-threat-detection-engine"",""feature"":""pass_trails_alpha"",""file"":""components/ScannerCanvas.tsx"",""line"":151,""match"":""rgba(alpha<1) + fillRect"",""snippet"":""    const h = dimensions.y;\n\n    // 1. Clear & Fade Background\n    ctx.fillStyle = 'rgba(5, 5, 8, 0.25)'; // Trail effect\n    ctx.fillRect(0, 0, w, h);\n\n    // 2. Update Physics & Logic"",""kind"":""regex""},{""variant"":""aetherscan_-threat-detection-engine"",""feature"":""uses_ts_from_raf"",""file"":""components/ScannerCanvas.tsx"",""line"":138,""match"":""timestamp from RAF callback"",""snippet"":""    const { x, y } = engineState.current.mouse;\n    spawnWave(x, y, 'alert');\n  };\n\n  // Main Loop\n  const renderLoop = useCallback((time: number) => {\n    if (!lastTimeRef.current) lastTimeRef.current = time;\n    const dt = (time - lastTimeRef.current) / 1000;\n    lastTimeRef.current = time;\n\n    const ctx = canvasRef.current?.getContext('2d');"",""kind"":""regex""},{""variant"":""aetherscan_-threat-detection-engine"",""feature"":""uses_date_now"",""file"":""components/ScannerCanvas.tsx"",""line"":35,""match"":""Date.now()"",""snippet"":""    nodes: [],\n    waves: [],\n    particles: [],\n    rng: new DeterministicRNG(Date.now()), // Seed with time for variety on reload, or fix for deterministic\n    mouse: { x: -1000, y: -1000 },\n    dimensions: { x: 0, y: 0 },\n  });"",""kind"":""ast""},{""variant"":""aetherscan_-threat-detection-engine"",""feature"":""has_canvas_2d"",""file"":""components/ScannerCanvas.tsx"",""line"":143,""match"":""getContext('2d')"",""snippet"":""    const dt = (time - lastTimeRef.current) / 1000;\n    lastTimeRef.current = time;\n\n    const ctx = canvasRef.current?.getContext('2d');\n    if (!ctx) return;\n\n    const { nodes, waves, particles, dimensions, mouse } = engineState.current;"",""kind"":""ast""},{""variant"":""aetherscan_-threat-detection-engine"",""feature"":""has_raf"",""file"":""components/ScannerCanvas.tsx"",""line"":375,""match"":""requestAnimationFrame"",""snippet"":""    });\n\n    if (active) {\n      animationFrameRef.current = requestAnimationFrame(renderLoop);\n    }\n  }, [active, mergedConfig]);\n"",""kind"":""ast""},{""variant"":""aetherscan_-threat-detection-engine"",""feature"":""has_raf"",""file"":""components/ScannerCanvas.tsx"",""line"":381,""match"":""requestAnimationFrame"",""snippet"":""\n  useEffect(() => {\n    if (active) {\n      animationFrameRef.current = requestAnimationFrame(renderLoop);\n    } else if (animationFrameRef.current) {\n      cancelAnimationFrame(animationFrameRef.current);\n    }"",""kind"":""ast""},{""variant"":""aetherscan_-threat-detection-engine"",""feature"":""has_cancel_raf"",""file"":""components/ScannerCanvas.tsx"",""line"":383,""match"":""cancelAnimationFrame"",""snippet"":""    if (active) {\n      animationFrameRef.current = requestAnimationFrame(renderLoop);\n    } else if (animationFrameRef.current) {\n      cancelAnimationFrame(animationFrameRef.current);\n    }\n    return () => {\n      if (animationFrameRef.current) cancelAnimationFrame(animationFrameRef.current);"",""kind"":""ast""},{""variant"":""aetherscan_-threat-detection-engine"",""feature"":""has_cancel_raf"",""file"":""components/ScannerCanvas.tsx"",""line"":386,""match"":""cancelAnimationFrame"",""snippet"":""      cancelAnimationFrame(animationFrameRef.current);\n    }\n    return () => {\n      if (animationFrameRef.current) cancelAnimationFrame(animationFrameRef.current);\n    };\n  }, [active, renderLoop]);\n"",""kind"":""ast""},{""variant"":""aetherscan_-threat-detection-engine"",""feature"":""has_deterministic_rng"",""file"":""utils/rng.ts"",""line"":6,""match"":""seed-based or custom PRNG"",""snippet"":"" * Ensures visualization is deterministic if the same seed is used.\n */\nexport class DeterministicRNG {\n  private seed: number;\n\n  constructor(seed: number) {\n    this.seed = seed;"",""kind"":""regex""}]",1,1,1,1,,,,,,1,1,,1,,,,,,,1,1,1,1,,,,,1,1,1,1,1,1,1,1,1,,,18000,-_T_H_TR_GB_-_-_-_OK,18,STABLE,7
